quarter,inflation
1968Q4,3.916000
1969Q1,4.355100
1969Q2,4.957100
1969Q3,5.619200
1969Q4,4.499300
1970Q1,5.150800
1970Q2,4.204500
1970Q3,4.429300
1970Q4,5.711500
1971Q1,5.260900
1971Q2,4.127100
1971Q3,3.297400
1971Q4,1.488500
1972Q1,6.192800
1972Q2,2.092000
1972Q3,2.173300
1972Q4,2.710100
1973Q1,5.969500
1973Q2,6.740600
1973Q3,6.666500
1973Q4,7.913300
1974Q1,10.811700
1974Q2,8.775700
1974Q3,11.481100
1974Q4,13.691100
1975Q1,7.961300
1975Q2,5.152000
1975Q3,5.035800
1975Q4,6.472100
1976Q1,3.719300
1976Q2,4.727300
1976Q3,4.393500
1976Q4,6.225400
1977Q1,5.790300
1977Q2,6.627900
1977Q3,5.147700
1977Q4,6.191700
1978Q1,7.090600
1978Q2,10.022900
1978Q3,7.004800
1978Q4,8.127100
1979Q1,8.693900
1979Q2,9.847100
1979Q3,8.406700
1979Q4,8.715600
1980Q1,9.537200
1980Q2,10.418000
1980Q3,9.065800
1980Q4,11.148400
1981Q1,7.837100
1981Q2,6.010500
1981Q3,9.392600
1981Q4,8.374300
1982Q1,3.606900
1982Q2,5.353800
1982Q3,5.407300
1982Q4,4.331100
1983Q1,5.835400
1983Q2,4.468300
1983Q3,3.455000
1983Q4,3.914600
1984Q1,4.113800
1984Q2,3.185100
1984Q3,3.588700
1984Q4,2.401100
1985Q1,5.248300
1985Q2,2.788700
1985Q3,3.323300
1985Q4,3.487600
1986Q1,2.496000
1986Q2,2.129900
1986Q3,3.250300
1986Q4,0.875700
1987Q1,3.335600
1987Q2,3.962900
1987Q3,2.234000
1987Q4,2.452600
1988Q1,2.405800
1988Q2,3.950400
1988Q3,4.098100
1988Q4,4.673700
1989Q1,3.938100
1989Q2,4.798100
1989Q3,3.035600
1989Q4,3.790000
1990Q1,5.570100
1990Q2,4.517100
1990Q3,3.472900
1990Q4,2.496900
1991Q1,5.523200
1991Q2,4.161900
1991Q3,1.813700
1991Q4,1.632300
1992Q1,2.903600
1992Q2,2.290200
1992Q3,1.774000
1992Q4,1.837900
1993Q1,3.302600
1993Q2,2.420900
1993Q3,1.526300
1993Q4,1.427900
1994Q1,2.531800
1994Q2,2.974100
1994Q3,1.743900
1994Q4,1.389100
1995Q1,2.182700
1995Q2,1.451500
1995Q3,0.589100
1995Q4,2.242900
1996Q1,2.605700
1996Q2,2.220100
1996Q3,1.837300
1996Q4,1.827300
1997Q1,2.737900
1997Q2,1.402900
1997Q3,1.396800
1997Q4,1.535300
1998Q1,0.923000
1998Q2,0.857400
1998Q3,0.819800
1998Q4,0.853400
1999Q1,1.422500
1999Q2,1.594900
1999Q3,0.963800
1999Q4,2.046000
2000Q1,2.689300
2000Q2,2.509900
2000Q3,1.999800
2000Q4,2.067700
2001Q1,3.155000
2001Q2,2.264700
2001Q3,2.141100
2001Q4,-0.327400
2002Q1,0.803900
2002Q2,1.167200
2002Q3,1.127100
2002Q4,1.744800
2003Q1,2.540700
2003Q2,0.968600
2003Q3,1.758700
2003Q4,1.096400
2004Q1,2.480600
2004Q2,3.194700
2004Q3,1.267000
2004Q4,2.004700
2005Q1,3.260100
2005Q2,2.408100
2005Q3,3.120400
2005Q4,3.018500
2006Q1,3.259300
2006Q2,3.303700
2006Q3,1.827700
2006Q4,1.544300
2007Q1,3.967700
2007Q2,2.694600
2007Q3,0.768600
2007Q4,2.561000
2008Q1,2.603000
2008Q2,1.056700
2008Q3,4.170200
2008Q4,-0.068200
2009Q1,2.898700
2009Q2,0.237300
2009Q3,0.782900
2009Q4,0.624600
2010Q1,0.854400
2010Q2,1.831300
2010Q3,2.274700
2010Q4,0.335400
2011Q1,1.895200
2011Q2,2.329900
2011Q3,2.520600
2011Q4,0.436500
2012Q1,1.523600
2012Q2,1.558700
2012Q3,2.831800
2012Q4,0.595400
2013Q1,1.169800
2013Q2,0.749300
2013Q3,1.904900
2013Q4,1.277100
2014Q1,1.317400
2014Q2,1.983100
2014Q3,1.310600
2014Q4,-0.018400
2015Q1,-0.055200
2015Q2,2.020400
2015Q3,1.242000
2015Q4,0.783800
2016Q1,0.741900
2016Q2,2.212700
2016Q3,1.511200
2016Q4,2.097600
2017Q1,2.264200
2017Q2,1.018500
2017Q3,2.172500
2017Q4,2.361600
2018Q1,1.981600
2018Q2,3.037200
2018Q3,1.669600
2018Q4,1.790200
2019Q1,0.877500
2019Q2,2.366800
2019Q3,1.657700
2019Q4,1.416800
2020Q1,1.308600
2020Q2,-1.828900
2020Q3,3.591600
2020Q4,2.042900
2021Q1,4.067100
2021Q2,5.976100
2021Q3,5.712900
2021Q4,6.942200
2022Q1,7.961400
2022Q2,8.748700
2022Q3,4.076200
2022Q4,3.468100
2023Q1,4.047600
2023Q2,2.188600
2023Q3,3.517000
2023Q4,1.480600
2024Q1,3.121300
2024Q2,2.282900
2024Q3,1.834100
2024Q4,2.203700
2025Q1,3.741900
2025Q2,1.979400
