quarter,inflation,unemployment,inflation_lag
1960Q1,1.5188,5.1333,1.5188
1960Q2,1.7176,5.2333,1.5188
1960Q3,1.2308,5.5333,1.7176
1960Q4,1.3601,6.2667,1.2308
1961Q1,1.4621,6.8000,1.3601
1961Q2,0.7768,7.0000,1.4621
1961Q3,1.2496,6.7667,0.7768
1961Q4,0.6709,6.2000,1.2496
1962Q1,1.1059,5.6333,0.6709
1962Q2,1.2399,5.5333,1.1059
1962Q3,1.4676,5.5667,1.2399
1962Q4,1.2329,5.5333,1.4676
1963Q1,1.1269,5.7667,1.2329
1963Q2,1.3241,5.7333,1.1269
1963Q3,0.9862,5.5000,1.3241
1963Q4,1.6458,5.5667,0.9862
1964Q1,1.4094,5.4667,1.6458
1964Q2,1.3068,5.2000,1.4094
1964Q3,1.1719,5.0000,1.3068
1964Q4,1.1982,4.9667,1.1719
1965Q1,1.1959,4.9000,1.1982
1965Q2,1.9349,4.6667,1.1959
1965Q3,1.7375,4.3667,1.9349
1965Q4,1.9200,4.1000,1.7375
1966Q1,2.7787,3.8667,1.9200
1966Q2,2.4359,3.8333,2.7787
1966Q3,3.5737,3.7667,2.4359
1966Q4,3.3595,3.7000,3.5737
1967Q1,2.5482,3.8333,3.3595
1967Q2,2.8413,3.8333,2.5482
1967Q3,2.5954,3.8000,2.8413
1967Q4,3.2807,3.9000,2.5954
1968Q1,3.9394,3.7333,3.2807
1968Q2,4.2042,3.5667,3.9394
1968Q3,4.4643,3.5333,4.2042
1968Q4,4.7059,3.4000,4.4643
1969Q1,5.2478,3.4000,4.7059
1969Q2,5.4755,3.4333,5.2478
1969Q3,5.6980,3.5667,5.4755
1969Q4,5.8989,3.5667,5.6980
1970Q1,6.0942,4.1667,5.8989
1970Q2,6.0109,4.7667,6.0942
1970Q3,5.6604,5.1667,6.0109
1970Q4,5.5703,5.8333,5.6604
1971Q1,4.4386,5.9333,5.5703
1971Q2,4.3814,5.9000,4.4386
1971Q3,4.0816,6.0333,4.3814
1971Q4,3.2663,5.9333,4.0816
1972Q1,3.5000,5.7667,3.2663
1972Q2,2.9630,5.7000,3.5000
1972Q3,3.1863,5.5667,2.9630
1972Q4,3.4063,5.3667,3.1863
1973Q1,4.8309,4.9333,3.4063
1973Q2,5.9952,4.9333,4.8309
1973Q3,7.3634,4.8000,5.9952
1973Q4,8.9412,4.7667,7.3634
1974Q1,10.1382,5.1333,8.9412
1974Q2,10.8597,5.2000,10.1382
1974Q3,11.9469,5.6333,10.8597
1974Q4,12.0950,6.6000,11.9469
1975Q1,10.4603,8.2667,12.0950
1975Q2,9.1837,8.8667,10.4603
1975Q3,7.9051,8.4667,9.1837
1975Q4,7.1291,8.3000,7.9051
1976Q1,6.0606,7.7333,7.1291
1976Q2,5.9813,7.5667,6.0606
1976Q3,5.4945,7.7333,5.9813
1976Q4,5.0360,7.7667,5.4945
1977Q1,6.4286,7.5000,5.0360
1977Q2,6.7019,7.1333,6.4286
1977Q3,6.4236,6.9000,6.7019
1977Q4,6.6781,6.6667,6.4236
1978Q1,6.3758,6.3333,6.6781
1978Q2,7.4380,6.0000,6.3758
1978Q3,8.4829,6.0333,7.4380
1978Q4,8.9888,5.9000,8.4829
1979Q1,10.2524,5.8667,8.9888
1979Q2,11.0769,5.7000,10.2524
1979Q3,11.8797,5.8667,11.0769
1979Q4,13.2548,5.9667,11.8797
1980Q1,14.5923,6.3000,13.2548
1980Q2,14.2659,7.3333,14.5923
1980Q3,12.7688,7.6667,14.2659
1980Q4,12.3537,7.4000,12.7688
1981Q1,10.6117,7.4333,12.3537
1981Q2,9.6970,7.4000,10.6117
1981Q3,10.9654,7.4000,9.6970
1981Q4,8.9120,8.2333,10.9654
1982Q1,6.8849,8.8333,8.9120
1982Q2,7.1823,9.4333,6.8849
1982Q3,4.9409,9.9000,7.1823
1982Q4,3.8257,10.6667,4.9409
1983Q1,3.5903,10.3667,3.8257
1983Q2,2.4742,10.1333,3.5903
1983Q3,2.7636,9.3667,2.4742
1983Q4,3.7871,8.5333,2.7636
1984Q1,4.8930,7.8667,3.7871
1984Q2,4.3260,7.4333,4.8930
1984Q3,4.2829,7.4333,4.3260
1984Q4,4.0434,7.3000,4.2829
1985Q1,3.7901,7.2333,4.0434
1985Q2,3.6644,7.3000,3.7901
1985Q3,3.2474,7.2000,3.6644
1985Q4,3.7915,7.0333,3.2474
1986Q1,2.1536,7.0333,3.7915
1986Q2,1.7674,7.1667,2.1536
1986Q3,1.7576,6.9667,1.7674
1986Q4,1.1872,6.8333,1.7576
1987Q1,2.8414,6.6000,1.1872
1987Q2,3.7477,6.2667,2.8414
1987Q3,4.2727,6.0000,3.7477
1987Q4,4.3321,5.8333,4.2727
1988Q1,3.8324,5.7000,4.3321
1988Q2,3.9648,5.4667,3.8324
1988Q3,4.1848,5.4667,3.9648
1988Q4,4.4118,5.3333,4.1848
1989Q1,4.8927,5.2000,4.4118
1989Q2,5.1695,5.2333,4.8927
1989Q3,4.4351,5.2333,5.1695
1989Q4,4.6396,5.3667,4.4351
