year,dp,log_dp,ret_next,infl_next,real_ret_next
1927,0.044101,-3.121277,37.457045,-0.011561,39.064729
1928,0.036717,-3.304514,-3.369330,0.005848,-3.931137
1929,0.045327,-3.093850,-22.943925,-0.063953,-17.679224
1930,0.063185,-2.761688,-40.296583,-0.093168,-34.162670
1931,0.097156,-2.331433,-13.270142,-0.102740,-3.339242
1932,0.073314,-2.613007,52.639296,0.007634,51.482938
1933,0.044132,-3.120561,-2.607823,0.015152,-4.061438
1934,0.048596,-3.024212,45.896328,0.029851,41.667449
1935,0.036043,-3.323044,36.349693,0.014493,34.401840
1936,0.042204,-3.165241,-30.715123,0.028571,-32.639703
1937,0.072595,-2.622855,19.782214,-0.027778,23.204563
1938,0.040189,-3.214159,2.364066,0.000000,2.364066
1939,0.050121,-2.993310,-9.458367,0.007143,-10.100506
1940,0.063628,-2.754706,-10.066477,0.099291,-18.189505
1941,0.081050,-2.512686,15.410959,0.090323,5.850288
1942,0.061975,-2.781028,26.995798,0.029586,23.346494
1943,0.053136,-2.934903,19.686411,0.022989,16.996829
1944,0.048855,-3.018899,37.328244,0.022472,34.310041
1945,0.038084,-3.267955,-8.597807,0.181319,-22.626981
1946,0.046927,-3.059170,4.890945,0.088372,-3.625841
1947,0.055888,-2.884402,7.252162,0.029915,4.136954
1948,0.061224,-2.793208,16.392363,-0.020747,18.858303
1949,0.068924,-2.674753,28.295042,0.059322,21.110520
1950,0.074430,-2.597891,25.670886,0.060000,18.557440
1951,0.060231,-2.809574,17.257582,0.007547,16.379248
1952,0.054147,-2.916044,0.921659,0.007491,0.171312
1953,0.058397,-2.840489,47.039871,-0.007435,48.141293
1954,0.044038,-3.122708,34.429511,0.003745,33.927908
1955,0.036147,-3.320155,6.193520,0.029851,3.115447
1956,0.037468,-3.284276,-9.302326,0.028986,-11.857190
1957,0.044384,-3.114880,36.969998,0.017606,34.600274
1958,0.032716,-3.419879,13.834362,0.017301,11.898403
1959,0.030985,-3.474238,-0.524890,0.013605,-1.860126
1960,0.034331,-3.371707,29.859155,0.006711,28.993427
1961,0.028157,-3.569951,-9.715640,0.013333,-10.903592
1962,0.034004,-3.381282,22.046616,0.016447,20.071751
1963,0.030740,-3.482184,16.570042,0.009709,15.449176
1964,0.029776,-3.514050,12.494045,0.019231,10.371516
1965,0.029652,-3.518218,-8.208874,0.034591,-11.277878
1966,0.035288,-3.344203,20.767245,0.030395,17.204789
1967,0.030640,-3.485446,14.973767,0.047198,9.791851
1968,0.028826,-3.546467,-11.483568,0.061972,-16.648983
1969,0.034683,-3.361496,2.282955,0.055703,-3.113885
1970,0.034870,-3.356142,13.536924,0.032663,9.945732
1971,0.030957,-3.475158,21.659776,0.034063,17.652160
1972,0.026809,-3.619036,-16.459574,0.087059,-23.150041
1973,0.035662,-3.333683,-25.437856,0.123377,-33.626762
1974,0.053675,-2.924803,37.736693,0.069364,28.802421
1975,0.041488,-3.182347,22.604284,0.048649,16.916456
1976,0.038682,-3.252382,-5.931232,0.067010,-11.838932
1977,0.049776,-3.000219,7.844809,0.090177,-1.075884
1978,0.052752,-2.942153,18.041827,0.132939,4.190765
1979,0.052412,-2.948622,29.554731,0.125163,15.143081
1980,0.046142,-3.076025,-2.299625,0.089224,-10.302741
1981,0.053554,-2.927063,18.150242,0.038298,13.792242
1982,0.049283,-3.010183,23.020086,0.037910,18.526756
1983,0.043127,-3.143617,4.641119,0.039487,0.666148
1984,0.045775,-3.084016,30.820669,0.037987,26.033087
1985,0.038109,-3.267304,23.917028,0.010979,22.571323
1986,0.033307,-3.402002,0.486726,0.044344,-3.780042
1987,0.036556,-3.308909,18.775934,0.044194,13.748902
1988,0.035262,-3.344944,30.075949,0.046473,24.299381
1989,0.031727,-3.450590,-2.226047,0.061063,-7.852799
1990,0.036776,-3.302919,21.888973,0.030643,18.265008
1991,0.031402,-3.460883,15.320069,0.029007,12.069327
1992,0.028441,-3.559927,9.845285,0.027484,6.907037
1993,0.026999,-3.611970,0.517223,0.026749,-2.101462
1994,0.028933,-3.542773,38.043454,0.025384,34.626092
1995,0.022438,-3.796979,23.362676,0.033225,19.395781
1996,0.020047,-3.909671,31.566768,0.017024,29.364472
1997,0.016106,-4.128559,25.341605,0.016119,23.353269
1998,0.013613,-4.296739,21.454561,0.026846,18.279278
1999,0.011682,-4.449696,-5.703167,0.033868,-8.792201
2000,0.012225,-4.404310,-12.792559,0.015517,-14.125100
2001,0.013748,-4.286894,-20.060615,0.023769,-21.916588
2002,0.017872,-4.024529,22.114593,0.018795,19.861801
2003,0.016092,-4.129413,12.771136,0.032556,9.215556
2004,0.016211,-4.122085,7.094671,0.034157,3.557499
2005,0.017606,-4.039516,14.201273,0.025407,11.371707
2006,0.017565,-4.041824,6.391466,0.040813,2.219609
2007,0.018746,-3.976755,-38.754884,0.000914,-38.810819
2008,0.032351,-3.431108,29.084051,0.027213,25.664309
2009,0.020182,-3.902950,13.858319,0.014957,12.180410
2010,0.018308,-4.000414,2.273002,0.029624,-0.669581
2011,0.021258,-3.851041,16.907956,0.017410,14.907393
2012,0.021972,-3.818004,29.563591,0.015017,27.646676
2013,0.019355,-3.944793,15.816637,0.007565,14.947070
2014,0.019199,-3.952895,2.102937,0.007295,1.363470
2015,0.021124,-3.857354,11.598867,0.020746,9.330668
2016,0.020342,-3.895088,20.770665,0.021091,18.276124
2017,0.018365,-3.997321,-1.624417,0.019102,-3.468326
2018,0.020936,-3.866270,26.006969,0.022851,23.191875
2019,0.018333,-3.999041,18.158162,0.013620,16.570466
2020,0.015771,-4.149581,28.139989,0.070364,19.716270
2021,0.012920,-4.348994,-14.877125,0.064544,-20.038182
